Nom scientifique;Nom français;Statut (au moins une fiche);Nombre de fiches;N° de fiches (habitats);ID Phytoscope;nom photo 1;nom photo 2;nom photo 3;nom photo 4
Salsola kali subsp. kali;Soude épineuse;car/freq;2;1, 2;;https://api.tela-botanica.org/img:000279595L.jpg;https://api.tela-botanica.org/img:000279596L.jpg;https://api.tela-botanica.org/img:000279597L.jpg;
Cakile maritima subsp. maritima;Roquette de mer;freq/car;5;1, 3, 4, 5, 6;;https://api.tela-botanica.org/img:000686663L.jpg;https://api.tela-botanica.org/img:000686664L.jpg;https://api.tela-botanica.org/img:000686665L.jpg;
Honckenya peploides;Pourpier de mer;freq/car;4;1, 2, 3, 5;;https://api.tela-botanica.org/img:003508045L.jpg;https://api.tela-botanica.org/img:003342943L.jpg;https://api.tela-botanica.org/img:003342944L.jpg;
Elymus farctus;Chiendent des sables;freq/car;6;1, 2, 3, 4, 5, 6;;https://api.tela-botanica.org/img:002430126L.jpg;https://api.tela-botanica.org/img:002430127L.jpg;https://api.tela-botanica.org/img:002430128L.jpg;
Polygonum maritimum;Renouée maritime;freq/car;2;1, 2;;https://api.tela-botanica.org/img:001249043L.jpg;https://api.tela-botanica.org/img:000907071L.jpg;https://api.tela-botanica.org/img:000744299L.jpg;
Calystegia soldanella;Liseron des dunes;freq/car;8;1, 2, 3, 4, 5, 6, 7, 10;;https://api.tela-botanica.org/img:000096197L.jpg;https://api.tela-botanica.org/img:000096198L.jpg;https://api.tela-botanica.org/img:000096199L.jpg;
Euphorbia peplis;Euphorbe péplis;car;1;2;;https://api.tela-botanica.org/img:003284752L.jpg;https://api.tela-botanica.org/img:003284753L.jpg;https://api.tela-botanica.org/img:003284754L.jpg;
Ammophila arenaria subsp. arenaria;Oyat;freq/car;6;2, 3, 4, 5, 6, 7;;https://api.tela-botanica.org/img:003430939L.jpg;https://api.tela-botanica.org/img:003430940L.jpg;https://api.tela-botanica.org/img:003430941L.jpg;
Eryngium maritimum;Panicaut de mer (Chardon bleu);car/freq;4;4, 5, 6, 7;;https://api.tela-botanica.org/img:003508008L.jpg;https://api.tela-botanica.org/img:003486715L.jpg;https://api.tela-botanica.org/img:003432706L.jpg;
Euphorbia paralias;Euphorbe des dunes;car/freq;4;4, 5, 6, 7;;https://api.tela-botanica.org/img:003483633L.jpg;https://api.tela-botanica.org/img:003460823L.jpg;https://api.tela-botanica.org/img:003460824L.jpg;
Otanthus maritimus;Immortelle des sables (Diotis);car;1;5;;https://api.tela-botanica.org/img:001482333L.jpg;https://api.tela-botanica.org/img:000710990L.jpg;https://api.tela-botanica.org/img:000710991L.jpg;
Galium arenarium;Gaillet des sables;freq/car;7;5, 6, 7, 9, 10, 11, 12;;https://api.tela-botanica.org/img:003441533L.jpg;https://api.tela-botanica.org/img:003432689L.jpg;https://api.tela-botanica.org/img:003331160L.jpg;
Leontodon saxatilis;Liondent des rochers;freq/car;11;5, 7, 9, 10, 11, 12, 13, 14, 18, 19, 28;;https://api.tela-botanica.org/img:003230208L.jpg;https://api.tela-botanica.org/img:003162414L.jpg;https://api.tela-botanica.org/img:002924420L.jpg;
Matthiola sinuata;Giroflée des dunes;freq;3;5, 6, 7;;https://api.tela-botanica.org/img:003432691L.jpg;https://api.tela-botanica.org/img:003432690L.jpg;https://api.tela-botanica.org/img:003331033L.jpg;
Carex arenaria;Laîche des sables;freq/car;15;6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 26, 28;;https://api.tela-botanica.org/img:002434939L.jpg;https://api.tela-botanica.org/img:002434940L.jpg;https://api.tela-botanica.org/img:002434941L.jpg;
Conyza sumatrensis;Vergerette de Sumatra;freq;1;6;;https://api.tela-botanica.org/img:003436712L.jpg;https://api.tela-botanica.org/img:003436711L.jpg;https://api.tela-botanica.org/img:003413390L.jpg;
Senecio jacobaea;Séneçon jacobée;freq;6;6, 12, 14, 18, 19, 20;;https://api.tela-botanica.org/img:002577988L.jpg;https://api.tela-botanica.org/img:002577989L.jpg;https://api.tela-botanica.org/img:002577990L.jpg;
Festuca juncifolia;Fétuque à feuilles de jonc;car/freq;3;7, 10, 11;;;;;
Plantago lanceolata;Plantain lancéolé;freq/car;15;7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 23, 24, 25, 28;;https://api.tela-botanica.org/img:003503416L.jpg;https://api.tela-botanica.org/img:003503417L.jpg;https://api.tela-botanica.org/img:003457692L.jpg;
Cerastium diffusum subsp. diffusum;Céraiste à quatre étamines;freq/car;11;7, 9, 10, 11, 12, 13, 14, 15, 16, 19, 28;;https://api.tela-botanica.org/img:002355165L.jpg;;;
Hypochaeris radicata;Porcelle enracinée;freq;9;7, 9, 10, 12, 13, 14, 15, 18, 19;;https://api.tela-botanica.org/img:003511477L.jpg;https://api.tela-botanica.org/img:003511478L.jpg;https://api.tela-botanica.org/img:003511479L.jpg;
Medicago marina;Luzerne marine;car;1;7;;https://api.tela-botanica.org/img:003442891L.jpg;https://api.tela-botanica.org/img:003442892L.jpg;https://api.tela-botanica.org/img:003442893L.jpg;
Mibora minima;Mibora naine;freq/car;9;7, 9, 10, 11, 12, 14, 15, 16, 17;;https://api.tela-botanica.org/img:002368745L.jpg;https://api.tela-botanica.org/img:002286956L.jpg;https://api.tela-botanica.org/img:002280205L.jpg;
Ephedra distachya subsp. distachya;Éphèdre à deux épis (Raisin de mer);car/freq;6;9, 10, 11, 15, 16, 28;;https://api.tela-botanica.org/img:002545451L.jpg;https://api.tela-botanica.org/img:002545452L.jpg;https://api.tela-botanica.org/img:002433386L.jpg;
Sedum acre;Orpin âcre;car/freq;8;9, 10, 11, 12, 13, 14, 15, 16;;https://api.tela-botanica.org/img:003476597L.jpg;https://api.tela-botanica.org/img:003432647L.jpg;https://api.tela-botanica.org/img:003431111L.jpg;
Eryngium campestre;Panicaut champêtre;car/freq;10;9, 10, 11, 12, 13, 14, 18, 19, 25, 26;;https://api.tela-botanica.org/img:003518033L.jpg;https://api.tela-botanica.org/img:003518034L.jpg;https://api.tela-botanica.org/img:003518035L.jpg;
