Nom scientifique;Nom français;Statut (au moins une fiche);Nombre de fiches;N° de fiches (habitats);ID Phytoscope;nom photo 1;nom photo 2;nom photo 3;nom photo 4
Agrostis stolonifera var. pseudopungens;Agrostide maritime;Fréquente;2;14, 15;145;https://api.tela-botanica.org/img:000788612L.jpg;https://api.tela-botanica.org/img:000009487L.jpg;https://api.tela-botanica.org/img:000039274L.jpg;
Agrostis x murbeckii;Agrostide hybride;Fréquente;1;17;;;;;
Anagallis arvensis subsp. arvensis;Mouron rouge;Fréquente;1;13;380;https://api.tela-botanica.org/img:000036189L.jpg;https://api.tela-botanica.org/img:000234203L.jpg;https://api.tela-botanica.org/img:000234154L.jpg;
Apium graveolens;Céleri sauvage;Fréquente;1;14;526;https://api.tela-botanica.org/img:000339650L.jpg;https://api.tela-botanica.org/img:000339641L.jpg;;
Arenaria serpyllifolia subsp. serpyllifolia;Sabline à feuilles de serpolet;Fréquente;1;13;7672;https://api.tela-botanica.org/img:000133004L.jpg;https://api.tela-botanica.org/img:000250999L.jpg;https://api.tela-botanica.org/img:002412854L.jpg;
Armeria maritima;Armérie maritime;Fréquente;3;12, 13, 15;631;https://api.tela-botanica.org/img:000080167L.jpg;https://api.tela-botanica.org/img:002460504L.jpg;;
Aster tripolium;Aster maritime;Fréquente;10;4, 5, 6, 7, 9, 11, 12, 13, 14, 19;787;https://api.tela-botanica.org/img:000204409L.jpg;https://api.tela-botanica.org/img:000091267L.jpg;https://api.tela-botanica.org/img:002448676L.jpg;
Atriplex laciniata;Arroche laciniée;Fréquente;1;17;853;https://api.tela-botanica.org/img:000096683L.jpg;https://api.tela-botanica.org/img:000860603L.jpg;https://api.tela-botanica.org/img:000016224L.jpg;https://api.tela-botanica.org/img:000860605L.jpg
Atriplex littoralis;Arroche des grèves;Fréquente;3;4, 17, 19;854;https://api.tela-botanica.org/img:001960457O.jpg;https://api.tela-botanica.org/img:002318989O.jpg;https://api.tela-botanica.org/img:002462563O.jpg;
Atriplex prostrata;Arroche couchée;Caractéristique + fréquente;5;4, 11, 14, 17, 19;850;https://api.tela-botanica.org/img:000192670L.jpg;https://api.tela-botanica.org/img:000039846L.jpg;https://api.tela-botanica.org/img:000051839L.jpg;
Baccharis halimifolia;Baccharis à feuilles d'arroche;Fréquente;2;14, 17;8183;https://api.tela-botanica.org/img:000167772L.jpg;https://api.tela-botanica.org/img:000044820L.jpg;https://api.tela-botanica.org/img:000015460L.jpg;
