Nom scientifique;Nom français;Milieu;Type;N° fiches marais;Codes fiches dunes;ID Phytoscope;URL 1;URL 2;URL 3;URL 4;URL 5;URL 6;URL 7;Origine des URL;Correspondance xlsx dunes;Nom dans le xlsx;Illustration (xlsx);Priorité (xlsx)
Agrostis stolonifera var. pseudopungens;Agrostide maritime;Prés salés;Flore vasculaire;14, 15;;145;https://api.tela-botanica.org/img:000788612L.jpg;https://api.tela-botanica.org/img:000009487L.jpg;https://api.tela-botanica.org/img:000039274L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Agrostis x murbeckii;Agrostide hybride;Prés salés;Flore vasculaire;17;;;;;;;;;;;absent du xlsx;;;
Aira praecox;Canche printanière;Dunes;Flore vasculaire;;2.1d, 2.1f, 2.6b;;https://api.tela-botanica.org/img:000248452CRS.jpg;https://api.tela-botanica.org/img:000792080L.jpg;https://api.tela-botanica.org/img:000341919CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;oui;2 - Complémentaire
Allium sphaerocephalon;Ail à tête ronde;Dunes;Flore vasculaire;;2.1a;;https://api.tela-botanica.org/img:000221498L.jpg;https://api.tela-botanica.org/img:000026143L.jpg;;;;;;"1=xlsx dunes ; 2=xlsx dunes";exacte;;à illustrer;2 - Complémentaire
Ammophila arenaria subsp. arenaria;Oyat;Dunes;Flore vasculaire;;1.1b, 1.1c, 1.2a, 1.2b, 1.3a, 1.3b;;https://api.tela-botanica.org/img:000155321CRS.jpg;https://api.tela-botanica.org/img:000047751CRS.jpg;https://api.tela-botanica.org/img:000076834CRS.jpg;https://api.tela-botanica.org/img:000248403L.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";espèce seule (rang différent);Ammophila arenaria;oui;1 - Essentiel
Anagallis arvensis;Mouron rouge;Dunes;Flore vasculaire;;2.1g, 2.5a, 2.6b;;https://api.tela-botanica.org/img:000683210L.jpg;https://api.tela-botanica.org/img:000977761L.jpg;https://api.tela-botanica.org/img:000113207CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Anagallis arvensis subsp. arvensis;Mouron rouge;Prés salés;Flore vasculaire;13;;380;https://api.tela-botanica.org/img:000036189L.jpg;https://api.tela-botanica.org/img:000234203L.jpg;https://api.tela-botanica.org/img:000234154L.jpg;https://api.tela-botanica.org/img:000683210L.jpg;https://api.tela-botanica.org/img:000977761L.jpg;https://api.tela-botanica.org/img:000113207CRS.jpg;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes";espèce seule (rang différent);Anagallis arvensis;à illustrer;3 - Contexte
Anchusa arvensis subsp. arvensis;Buglosse des champs;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000017436CRS.jpg;https://api.tela-botanica.org/img:000026434CRS.jpg;https://api.tela-botanica.org/img:000020041CRS.jpg;;;;;;absent du xlsx;;;
Anthoxanthum odoratum;Flouve odorante;Dunes;Flore vasculaire;;2.2b, 2.5c;;https://api.tela-botanica.org/img:000009493CRS.jpg;https://api.tela-botanica.org/img:000222658L.jpg;https://api.tela-botanica.org/img:000009492L.jpg;;;;;;absent du xlsx;;;
Anthriscus caucalis;Cerfeuil vulgaire;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000055059L.jpg;https://api.tela-botanica.org/img:000057075L.jpg;https://api.tela-botanica.org/img:000009074CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Anthyllis vulneraria;Anthyllide vulnéraire;Dunes;Flore vasculaire;;2.1d, 2.1e, 2.1f;;https://api.tela-botanica.org/img:000161876L.jpg;https://api.tela-botanica.org/img:000051755CRS.jpg;https://api.tela-botanica.org/img:000133719L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Aphanes microcarpa;Alchémille à petits fruits;Dunes;Flore vasculaire;;2.6b;;https://api.tela-botanica.org/img:002256807L.jpg;https://api.tela-botanica.org/img:002256808L.jpg;https://api.tela-botanica.org/img:002256809L.jpg;;;;;1=Tela Botanica (API DEL);exacte;;à illustrer;3 - Contexte
Apium graveolens;Céleri sauvage;Prés salés;Flore vasculaire;14;;526;https://api.tela-botanica.org/img:000339650L.jpg;https://api.tela-botanica.org/img:000339641L.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Arenaria serpyllifolia;Sabline à feuilles de serpolet;Dunes;Flore vasculaire;;2.1d, 2.1e, 2.1f, 2.1g, 2.1h, 2.1i, 2.2b, 2.6b;;https://api.tela-botanica.org/img:002412849CRS.jpg;https://api.tela-botanica.org/img:002412854L.jpg;;;;;;"1=xlsx dunes ; 2=xlsx dunes";exacte;;à illustrer;2 - Complémentaire
Arenaria serpyllifolia subsp. serpyllifolia;Sabline à feuilles de serpolet;Prés salés;Flore vasculaire;13;;7672;https://api.tela-botanica.org/img:000133004L.jpg;https://api.tela-botanica.org/img:000250999L.jpg;https://api.tela-botanica.org/img:002412854L.jpg;https://api.tela-botanica.org/img:002412849CRS.jpg;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes";espèce seule (rang différent);Arenaria serpyllifolia;à illustrer;2 - Complémentaire
Armeria maritima;Armérie maritime;Les deux;Flore vasculaire;12, 13, 15;2.1a, 2.1d, 2.1e, 2.1f;631;https://api.tela-botanica.org/img:000080167L.jpg;https://api.tela-botanica.org/img:002460504L.jpg;https://api.tela-botanica.org/img:000009479CRS.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=xlsx dunes";exacte;;à illustrer;2 - Complémentaire
Arrhenatherum elatius s.l.;Fromental;Dunes;Flore vasculaire;;2.2a, 2.2b;;https://api.tela-botanica.org/img:000248894CRS.jpg;https://api.tela-botanica.org/img:000166901CRS.jpg;https://api.tela-botanica.org/img:000023617CRS.jpg;;;;;;absent du xlsx;;;
Arrhenatherum elatius subsp. bulbosum;Fromental bulbeux;Dunes;Flore vasculaire;;2.5b;;https://api.tela-botanica.org/img:000321401CRS.jpg;https://api.tela-botanica.org/img:000294436CRS.jpg;https://api.tela-botanica.org/img:000321407L.jpg;;;;;;absent du xlsx;;;
Arum italicum subsp. neglectum;Arum d'Italie négligé;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:000332549CRS.jpg;https://api.tela-botanica.org/img:000332548L.jpg;;;;;;;absent du xlsx;;;
Asperula cynanchica;Aspérule à l'esquinancie;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f;;https://api.tela-botanica.org/img:000024701CRS.jpg;https://api.tela-botanica.org/img:000024769CRS.jpg;;;;;;"1=xlsx dunes ; 2=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Aster tripolium;Aster maritime;Prés salés;Flore vasculaire;4, 5, 6, 7, 9, 11, 12, 13, 14, 19;;787;https://api.tela-botanica.org/img:000204409L.jpg;https://api.tela-botanica.org/img:000091267L.jpg;https://api.tela-botanica.org/img:002448676L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Asterolinon linum-stellatum;Astérolinon;Dunes;Flore vasculaire;;2.1d, 2.1e, 2.1f;;https://api.tela-botanica.org/img:000071921L.jpg;https://api.tela-botanica.org/img:000024108L.jpg;https://api.tela-botanica.org/img:000772069L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Atriplex laciniata;Arroche laciniée;Les deux;Flore vasculaire;17;1.1a, 1.1b, 1.1c, 1.2a;853;https://api.tela-botanica.org/img:000096683L.jpg;https://api.tela-botanica.org/img:000860603L.jpg;https://api.tela-botanica.org/img:000016224L.jpg;https://api.tela-botanica.org/img:000860605L.jpg;https://api.tela-botanica.org/img:000096684CRS.jpg;https://api.tela-botanica.org/img:000089465CRS.jpg;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=CSV marais ; 5=xlsx dunes ; 6=xlsx dunes";exacte;;oui;2 - Complémentaire
Atriplex littoralis;Arroche des grèves;Prés salés;Flore vasculaire;4, 17, 19;;854;https://api.tela-botanica.org/img:001960457O.jpg;https://api.tela-botanica.org/img:002318989O.jpg;https://api.tela-botanica.org/img:002462563O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Atriplex prostrata;Arroche couchée;Prés salés;Flore vasculaire;4, 11, 14, 17, 19;;850;https://api.tela-botanica.org/img:000192670L.jpg;https://api.tela-botanica.org/img:000039846L.jpg;https://api.tela-botanica.org/img:000051839L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Baccharis halimifolia;Baccharis à feuilles d'arroche;Prés salés;Flore vasculaire;14, 17;;8183;https://api.tela-botanica.org/img:000167772L.jpg;https://api.tela-botanica.org/img:000044820L.jpg;https://api.tela-botanica.org/img:000015460L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";exacte;;à illustrer;3 - Contexte
Bellis perennis subsp. perennis;Pâquerette;Dunes;Flore vasculaire;;2.1g, 2.2a, 2.2b, 2.5c, 2.6b;;https://api.tela-botanica.org/img:000018226L.jpg;https://api.tela-botanica.org/img:000017872L.jpg;https://api.tela-botanica.org/img:000025592CRS.jpg;;;;;;espèce seule (rang différent);Bellis perennis;à illustrer;3 - Contexte
Beta vulgaris subsp. maritima;Betterave maritime;Les deux;Flore vasculaire;17;1.1a;938;https://api.tela-botanica.org/img:000114717L.jpg;https://api.tela-botanica.org/img:000054431L.jpg;https://api.tela-botanica.org/img:000017343L.jpg;https://api.tela-botanica.org/img:000016190CRS.jpg;https://api.tela-botanica.org/img:000017343CRS.jpg;https://api.tela-botanica.org/img:000054431CRS.jpg;https://api.tela-botanica.org/img:000066140L.jpg;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes ; 7=xlsx dunes";exacte;;oui;2 - Complémentaire
Brachythecium albicans;Brachythecium albicans (mousse);Dunes;Bryophyte / lichen;;2.1d;;;;;;;;;;absent du xlsx;;;
Brachythecium rutabulum;Brachythecium rutabulum (mousse);Dunes;Bryophyte / lichen;;2.2b;;;;;;;;;;absent du xlsx;;;
Bromus diandrus subsp. diandrus;Brome à deux étamines;Dunes;Flore vasculaire;;2.1h, 2.5c;;https://api.tela-botanica.org/img:003179235L.jpg;https://api.tela-botanica.org/img:003179233L.jpg;;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Bromus diandrus subsp. maximus;Grand brome des sables;Dunes;Flore vasculaire;;2.1h, 2.5b;;https://api.tela-botanica.org/img:003125552L.jpg;https://api.tela-botanica.org/img:003125551L.jpg;https://api.tela-botanica.org/img:002342720L.jpg;;;;;1=Tela Botanica (API DEL) via Bromus diandrus;absent du xlsx;;;
Bromus hordeaceus subsp. hordeaceus;Brome mou;Dunes;Flore vasculaire;;2.1g, 2.1h, 2.2a, 2.2b, 2.5b, 2.5c;;https://api.tela-botanica.org/img:000116707L.jpg;https://api.tela-botanica.org/img:000009507L.jpg;https://api.tela-botanica.org/img:000009509CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Bromus hordeaceus;oui;2 - Complémentaire
Bryonia dioica;Bryone dioïque;Dunes;Flore vasculaire;;2.3, 2.5a;;https://api.tela-botanica.org/img:000162236L.jpg;https://api.tela-botanica.org/img:002490738CRS.jpg;https://api.tela-botanica.org/img:000021179CRS.jpg;;;;;;absent du xlsx;;;
Bupleurum baldense subsp. baldense;Buplèvre du mont Baldo;Dunes;Flore vasculaire;;2.1a, 2.1e, 2.1f;;https://api.tela-botanica.org/img:000242619L.jpg;https://api.tela-botanica.org/img:002198923CRS.jpg;https://api.tela-botanica.org/img:000018855CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Bupleurum baldense;à illustrer;2 - Complémentaire
Cakile maritima subsp. maritima;Roquette de mer;Dunes;Flore vasculaire;;1.1a, 1.1c, 1.2a, 1.2b, 1.3a;;https://api.tela-botanica.org/img:000048976L.jpg;https://api.tela-botanica.org/img:000036818CRS.jpg;https://api.tela-botanica.org/img:000069187L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Cakile maritima;oui;2 - Complémentaire
Calystegia sepium;Liseron des haies;Prés salés;Flore vasculaire;14;;1209;https://api.tela-botanica.org/img:000188608L.jpg;https://api.tela-botanica.org/img:000180214L.jpg;https://api.tela-botanica.org/img:002228938O.jpg;https://api.tela-botanica.org/img:000057272L.jpg;https://api.tela-botanica.org/img:000180215L.jpg;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes";exacte;;oui;3 - Contexte
Calystegia soldanella;Liseron des dunes;Dunes;Flore vasculaire;;1.1a, 1.1b, 1.1c, 1.2a, 1.2b, 1.3a, 1.3b, 2.1b;;https://api.tela-botanica.org/img:000073832L.jpg;https://api.tela-botanica.org/img:000261562CRS.jpg;https://api.tela-botanica.org/img:000045742CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;oui;1 - Essentiel
Cardamine hirsuta;Cardamine hérissée;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:002118982L.jpg;https://api.tela-botanica.org/img:000032848L.jpg;https://api.tela-botanica.org/img:000017607CRS.jpg;https://api.tela-botanica.org/img:000055524CRS.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";exacte;;à illustrer;3 - Contexte
Cardaria draba;Passerage drave;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000105340L.jpg;https://api.tela-botanica.org/img:000105487L.jpg;https://api.tela-botanica.org/img:000069472L.jpg;;;;;;absent du xlsx;;;
Carduus nutans subsp. nutans;Chardon penché;Dunes;Flore vasculaire;;2.1i;;https://api.tela-botanica.org/img:000078109L.jpg;https://api.tela-botanica.org/img:000167487L.jpg;https://api.tela-botanica.org/img:002340239CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Carduus nutans;à illustrer;3 - Contexte
Carduus tenuiflorus;Chardon à petits capitules;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000017697L.jpg;https://api.tela-botanica.org/img:000019429CRS.jpg;https://api.tela-botanica.org/img:000019524CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
